source,topic,article_count,topic_words
all news today,-1,1,
all news today,0,4,pok government kronos protesters police violence citizens abila protests protectors
all news today,3,3,nespola health minister taxes cesare increase development water oil rural
all news today,10,2,reese aid bodrogi community elodis problem henk food water reynolds
all news today,13,1,karel kraft charges client boat michale false police ask arrested
all news today,14,2,health chronic report elodis incidence municipal published community wellness center
all news today,17,2,death karel died elian body police prison justice juliana charges
all news today,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
all news today,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
all news today,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
athena speaks,0,3,pok government kronos protesters police violence citizens abila protests protectors
athena speaks,1,3,kapelou pok public threat vincent president vandalism police letters force
athena speaks,4,1,airport plane passengers jet danisliau private second confirmed destination jets
athena speaks,6,2,kidnapping gastech speculation kronos information reports employees department international kidnapped
athena speaks,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
athena speaks,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
athena speaks,13,1,karel kraft charges client boat michale false police ask arrested
athena speaks,15,1,million gastech international jr sanjorge sten billion avila company shares
athena speaks,16,1,vann edvard hours pok employee tethyn terrorist employees police members
athena speaks,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
athena speaks,19,1,wfa international water high contamination probability government hasr group tethys
athena speaks,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
athena speaks,21,1,karel elian pok wfa government martyr jeroen juliana attention died
athena speaks,26,2,report tiskele site km government contamination people international level rural
athena speaks,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
athena speaks,29,2,ii party kapelou election president dorel vote democratic resounding unions
central bulletin,0,3,pok government kronos protesters police violence citizens abila protests protectors
central bulletin,1,2,kapelou pok public threat vincent president vandalism police letters force
central bulletin,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
central bulletin,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
central bulletin,12,1,drug cotton dob accused bianca drugs arrest candy designer substance
central bulletin,13,1,karel kraft charges client boat michale false police ask arrested
central bulletin,15,1,million gastech international jr sanjorge sten billion avila company shares
central bulletin,16,1,vann edvard hours pok employee tethyn terrorist employees police members
central bulletin,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
central bulletin,19,1,wfa international water high contamination probability government hasr group tethys
central bulletin,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
central bulletin,21,1,karel elian pok wfa government martyr jeroen juliana attention died
central bulletin,26,2,report tiskele site km government contamination people international level rural
central bulletin,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
central bulletin,29,2,ii party kapelou election president dorel vote democratic resounding unions
centrum sentinel,-1,10,
centrum sentinel,0,1,pok government kronos protesters police violence citizens abila protests protectors
centrum sentinel,1,1,kapelou pok public threat vincent president vandalism police letters force
centrum sentinel,2,6,police update pm missing arrived gastech abila conference carman employees
centrum sentinel,4,7,airport plane passengers jet danisliau private second confirmed destination jets
centrum sentinel,6,2,kidnapping gastech speculation kronos information reports employees department international kidnapped
